path,methods,current_authn,current_authz,proposed_guard,sub_batch,notes
src/app/api/activity/route.ts,GET,withAuth,own-rows,withAuth,f,added 2026-08-09 - already wrapped, was missing from inventory
src/app/api/addons/cancel/route.ts,POST,getUser,none,withAuth,f,bare session read - wrap in withAuth
src/app/api/addons/list/route.ts,GET,getUser,none,withAuth,f,bare session read - wrap in withAuth
src/app/api/addons/subscribe/route.ts,POST,getUser,none,withAuth,f,bare session read - wrap in withAuth
src/app/api/admin/affiliate/revenue/route.ts,GET,validateFromHeaders,"rbac.hasPermission(""admin:analytics"")",withRole(admin),a,admin endpoint - promote to withRole(admin)
src/app/api/admin/analytics/route.ts,GET,requireRole,inline admin role via requireRole,withRole(admin),a,deprecated requireRole path - rewrap withRole(admin)
src/app/api/admin/audit/route.ts,GET;POST,requireRole,inline admin role via requireRole,withRole(admin),a,deprecated requireRole path - rewrap withRole(admin)
src/app/api/admin/auth/route.ts,GET,requireRole,reads profiles.role from DB (safe),withRole(admin),a,DB-sourced role check - safe pattern; rewrap withRole(admin)
src/app/api/admin/compliance/breach/route.ts,POST,withRole(admin),admin role via withRole,withRole(admin),a,CMP-02 breach-notify trigger; born withRole(admin) - added to inventory post-hoc
src/app/api/admin/disputes/route.ts,GET;PATCH,requireRole,inline admin role via requireRole,withRole(admin),a,deprecated requireRole path - rewrap withRole(admin)
src/app/api/admin/health/route.ts,GET,withRole,admin,withRole,f,added 2026-08-09 - admin-only health detail
src/app/api/admin/logs/route.ts,GET,requireRole,inline admin role via requireRole,withRole(admin),a,deprecated requireRole path - rewrap withRole(admin)
src/app/api/admin/metrics/route.ts,GET,requireRole,inline admin role via requireRole,withRole(admin),a,deprecated requireRole path - rewrap withRole(admin)
src/app/api/admin/settings/route.ts,GET;POST,requireRole,inline admin role via requireRole,withRole(admin),a,deprecated requireRole path - rewrap withRole(admin)
src/app/api/admin/stats/route.ts,GET,requireRole,inline admin role via requireRole,withRole(admin),a,deprecated requireRole path - rewrap withRole(admin)
src/app/api/admin/subscriptions/route.ts,DELETE;GET,requireRole,inline admin role via requireRole,withRole(admin),a,deprecated requireRole path - rewrap withRole(admin)
src/app/api/admin/users/route.ts,GET;PATCH,requireRole,inline admin role via requireRole,withRole(admin),a,deprecated requireRole path - rewrap withRole(admin)
src/app/api/affiliate/offers/route.ts,GET;POST,validateFromHeaders,"rbac.hasPermission(""financial:read"")",withPermission(financial:read),f,promote inline permission check to withPermission
src/app/api/affiliate/webhooks/route.ts,POST,webhook-signature,none,PUBLIC,f,webhook - signature verification stays as the auth
src/app/api/ai/chat/message/route.ts,POST,getUser,none,withAuth,f,bare session read - wrap in withAuth
src/app/api/ai/chat/route.ts,GET;POST,getUser,none,withAuth,f,bare session read - wrap in withAuth
src/app/api/ai/chat/sessions/[id]/route.ts,DELETE;GET;PUT,getUser,none,withAuth,f,bare session read - wrap in withAuth
src/app/api/ai/chat/sessions/route.ts,GET;POST,getUser,none,withAuth,f,bare session read - wrap in withAuth
src/app/api/ai/consensus/route.ts,GET;POST,getUser,none,withAuth,f,bare session read - wrap in withAuth
src/app/api/ai/create-workflow/route.ts,GET;POST,validateFromHeaders,"rbac.hasPermission(""ai:create_workflow"")",withPermission(ai:create_workflow),f,promote inline permission check to withPermission
src/app/api/ai/financial-coach/advice/route.ts,POST,getUser,none,withAuth,f,bare session read - wrap in withAuth
src/app/api/ai/financial-coach/analyze/route.ts,POST,getUser,none,withAuth,f,bare session read - wrap in withAuth
src/app/api/ai/financial-coach/budget/route.ts,GET;POST,getUser,none,withAuth,f,bare session read - wrap in withAuth
src/app/api/ai/financial-coach/dashboard/route.ts,GET,getUser,none,withAuth,f,bare session read - wrap in withAuth
src/app/api/ai/financial-coach/debt-strategy/route.ts,POST,getUser,none,withAuth,f,bare session read - wrap in withAuth
src/app/api/ai/financial-coach/debt/route.ts,GET;POST,getUser,none,withAuth,f,bare session read - wrap in withAuth
src/app/api/ai/financial-coach/goals/[goalId]/route.ts,GET;PATCH,getUser,none,withAuth,f,bare session read - wrap in withAuth
src/app/api/ai/financial-coach/goals/[goalId]/simulate/route.ts,POST,getUser,none,withAuth,f,bare session read - wrap in withAuth
src/app/api/ai/financial-coach/goals/route.ts,GET;POST,getUser,none,withAuth,f,bare session read - wrap in withAuth
src/app/api/ai/financial-coach/plan/route.ts,POST,getUser,none,withAuth,f,bare session read - wrap in withAuth
src/app/api/ai/financial-coach/recommendations/route.ts,GET;POST,getUser,none,withAuth,f,bare session read - wrap in withAuth
src/app/api/ai/insights/route.ts,GET,getUser,none,withAuth,f,bare session read - wrap in withAuth
src/app/api/ai/nudges/route.ts,GET;POST,getUser,none,withAuth,f,bare session read - wrap in withAuth
src/app/api/ai/orchestrate/route.ts,GET;POST,validateFromHeaders,"rbac.hasPermission(""ai:orchestrate_strategies"")",withPermission(ai:orchestrate_strategies),f,promote inline permission check to withPermission
src/app/api/ai/predict-outcomes/route.ts,GET;POST,validateFromHeaders,"rbac.hasPermission(""ai:predict_outcomes"")",withPermission(ai:predict_outcomes),f,promote inline permission check to withPermission
src/app/api/ai/recommend-strategy/route.ts,GET;POST,validateFromHeaders,"rbac.hasPermission(""ai:strategy_recommendation"")",withPermission(ai:strategy_recommendation),f,promote inline permission check to withPermission
src/app/api/ai/spending-analysis/route.ts,GET;POST,getUser,none,withAuth,f,bare session read - wrap in withAuth
src/app/api/analytics/events/route.ts,GET;POST,none,none,withAuth,f,unauthenticated - accepts event.userId from body; wrap in withAuth
src/app/api/analytics/reports/route.ts,GET;POST,validateFromHeaders,"rbac.hasPermission(""admin:analytics"")",withRole(admin),f,admin analytics - promote to withRole(admin)
src/app/api/analytics/route.ts,GET,validateFromHeaders,"rbac.hasPermission(""admin:analytics"")",withAuth,f,"mixed route - 6 per-user sub-types scoped to user.id; `system` sub-type has an inline `rbac.hasPermission('admin:analytics')` check on the DB-resolved role."
src/app/api/analytics/strategies/route.ts,GET,validateFromHeaders,none,withAuth,f,inline JWT validation - wrap in withAuth
src/app/api/analytics/timeseries/route.ts,GET,validateFromHeaders,"rbac.hasPermission(""admin:analytics"")",withRole(admin),f,admin analytics - promote to withRole(admin)
src/app/api/auth/backup-codes/redeem/route.ts,POST,withAuthAllowingAal1,own-rows,withAuthAllowingAal1,f,added 2026-08-10 (R-006) - MFA recovery. DELIBERATELY exempt from the AAL2 gate: a user who lost their authenticator is stuck at aal1 by definition. Rate limited per user; the only route permitted to use this guard
src/app/api/auth/backup-codes/route.ts,GET;POST,withAuth,own-rows,withAuth,f,added 2026-08-10 (R-006) - server-side backup code management. aal2 is implicit: withAuth already refuses aal1 from a user holding a verified factor
src/app/api/auth/sessions/route.ts,GET;DELETE,withAuth,own-rows,withAuth,f,added 2026-08-15 - replaced a browser anon-client query against public.sessions that 403d on every call (sessions grants authenticated no privilege). Runs under the service role so user.id from the guard is the only scoping - both GET and DELETE carry .eq("user_id" user.id)
src/app/api/auth/webauthn/authenticate/route.ts,POST,none,none,PUBLIC,f,pre-auth webauthn challenge - genuinely public
src/app/api/auth/webauthn/authenticate/verify/route.ts,POST,none,none,PUBLIC,f,pre-auth webauthn verify - genuinely public
src/app/api/auth/webauthn/credentials/route.ts,DELETE;GET;PATCH,getUser,none,withAuth,f,bare session read - wrap in withAuth
src/app/api/auth/webauthn/register/route.ts,POST,getUser,none,withAuth,f,bare session read - wrap in withAuth
src/app/api/auth/webauthn/register/verify/route.ts,POST,getUser,none,withAuth,f,bare session read - wrap in withAuth
src/app/api/automation/jobs/route.ts,DELETE;GET;POST,validateFromHeaders,"rbac.hasPermission(""automation:jobs:create"");rbac.hasPermission(""automation:jobs:delete"")",withPermission(automation:jobs:create),f,multiple inline perms - promote to withPermission; DELETE needs automation:jobs:delete
src/app/api/automation/workflows/route.ts,GET;POST,validateFromHeaders,"rbac.hasPermission(""automation:workflows:create"")",withPermission(automation:workflows:create),f,promote inline permission check to withPermission
src/app/api/chat/financial/route.ts,POST,getUser,none,withAuth,f,bare session read - wrap in withAuth
src/app/api/chat/financial/sessions/[id]/messages/route.ts,GET,getUser,none,withAuth,f,bare session read - wrap in withAuth
src/app/api/chat/financial/sessions/[id]/route.ts,DELETE;GET,getUser,none,withAuth,f,bare session read - wrap in withAuth
src/app/api/chat/financial/sessions/route.ts,GET;POST,getUser,none,withAuth,f,bare session read - wrap in withAuth
src/app/api/credit-builder/loans/route.ts,GET,getUser,none,withAuth,c,bare session read - wrap in withAuth
src/app/api/credit-builder/progress/route.ts,GET,getUser,none,withAuth,c,bare session read - wrap in withAuth
src/app/api/credit-builder/recommendations/route.ts,GET,getUser,none,withAuth,c,bare session read - wrap in withAuth
src/app/api/credit-builder/score/route.ts,GET,getUser,none,withAuth,c,bare session read - wrap in withAuth
src/app/api/credit-builder/secured-cards/route.ts,GET,getUser,none,withAuth,c,bare session read - wrap in withAuth
src/app/api/credit-bureau/analyze/route.ts,POST,validateFromHeaders,"rbac.hasPermission(""credit:analyze"")",withPermission(credit:analyze),c,promote inline permission check to withPermission
src/app/api/credit-bureau/connect/route.ts,GET;POST,validateFromHeaders,"rbac.hasPermission(""credit:read"");rbac.hasPermission(""credit:write"")",withPermission(credit:read),c,multiple inline perms - GET credit:read POST credit:write
src/app/api/credit-bureau/dispute/route.ts,POST,validateFromHeaders,"rbac.hasPermission(""disputes:create"")",withPermission(disputes:create),c,promote inline permission check to withPermission
src/app/api/credit-bureau/report/route.ts,GET;POST,validateFromHeaders,"rbac.hasPermission(""credit:read"")",withPermission(credit:read),c,promote inline permission check to withPermission
src/app/api/credit-bureau/score-history/route.ts,GET,validateFromHeaders,"rbac.hasPermission(""credit:read"")",withPermission(credit:read),c,promote inline permission check to withPermission
src/app/api/credit-bureau/test-import/route.ts,GET;POST,none,none,withAuth,c,unauthenticated test-import accepting userId from body - SECURITY: test route should be removed or gated
src/app/api/credit-monitoring/alerts/route.ts,GET;PATCH,validateFromHeaders,"rbac.hasPermission(""credit:alerts"")",withPermission(credit:alerts),c,promote inline permission check to withPermission
src/app/api/credit-monitoring/history/route.ts,GET,none,none,withAuth,c,unauthenticated - wrap in withAuth
src/app/api/credit-monitoring/route.ts,GET;POST,none,none,withAuth,c,unauthenticated - accepts userId from query/body (IDOR) - wrap in withAuth
src/app/api/credit-monitoring/scores/route.ts,GET,none,none,withAuth,c,unauthenticated - wrap in withAuth
src/app/api/credit-monitoring/settings/route.ts,GET;PUT,validateFromHeaders,"rbac.hasPermission(""credit:read"");rbac.hasPermission(""credit:update_settings"")",withPermission(credit:read),c,multiple inline perms - GET credit:read PUT credit:update_settings
src/app/api/credit-repair/accounts/route.ts,GET,withPermission,credit:read,withPermission,f,added 2026-08-09 - already wrapped
src/app/api/credit-repair/cards/[id]/route.ts,DELETE;GET;PUT,validateFromHeaders,none,withAuth,c,inline JWT validation - wrap in withAuth
src/app/api/credit-repair/cards/route.ts,GET;POST,validateFromHeaders,none,withAuth,c,inline JWT validation - wrap in withAuth
src/app/api/credit-repair/disputable-items/route.ts,GET,withPermission,credit:read,withPermission,f,added 2026-08-09 - already wrapped
src/app/api/credit-repair/disputes/[id]/route.ts,DELETE;GET;PUT,validateFromHeaders,none,withAuth,c,inline JWT validation - wrap in withAuth
src/app/api/credit-repair/disputes/route.ts,GET;POST,validateFromHeaders,none,withAuth,c,inline JWT validation - wrap in withAuth
src/app/api/credit-repair/goodwill/[id]/route.ts,DELETE;GET;PUT,validateFromHeaders,none,withAuth,c,inline JWT validation - wrap in withAuth
src/app/api/credit-repair/goodwill/route.ts,GET;POST,validateFromHeaders,none,withAuth,c,inline JWT validation - wrap in withAuth
src/app/api/credit-repair/impact/route.ts,POST,validateFromHeaders,none,withAuth,c,inline JWT validation - wrap in withAuth
src/app/api/credit-repair/inquiries/route.ts,GET,withAuth,own-rows,withAuth,f,added 2026-08-09 - already wrapped
src/app/api/credit-repair/negotiate/[id]/route.ts,DELETE;GET;PUT,validateFromHeaders,none,withAuth,c,inline JWT validation - wrap in withAuth
src/app/api/credit-repair/negotiate/route.ts,GET;POST,validateFromHeaders,none,withAuth,c,inline JWT validation - wrap in withAuth
src/app/api/credit-repair/quick-wins/route.ts,GET,validateFromHeaders,none,withAuth,c,inline JWT validation - wrap in withAuth
src/app/api/credit-repair/reports/[id]/route.ts,DELETE;GET,validateFromHeaders,none,withAuth,c,inline JWT validation - wrap in withAuth
src/app/api/credit-repair/reports/route.ts,GET;POST,validateFromHeaders,none,withAuth,c,inline JWT validation - wrap in withAuth
src/app/api/credit-repair/score/route.ts,GET;POST,validateFromHeaders,none,withAuth,c,inline JWT validation - wrap in withAuth
src/app/api/credit-report/analyze/route.ts,GET;POST,none,none,withAuth,c,unauthenticated - wrap in withAuth
src/app/api/credit/analyze/route.ts,GET;POST,none,none,withAuth,c,unauthenticated - wrap in withAuth
src/app/api/credit/factors/route.ts,GET,validateFromHeaders,none,withAuth,c,inline JWT validation - wrap in withAuth
src/app/api/credits/balance/route.ts,GET,getUser,none,withAuth,f,bare session read - wrap in withAuth
src/app/api/credits/history/route.ts,GET,getUser,none,withAuth,f,bare session read - wrap in withAuth
src/app/api/credits/purchase/route.ts,POST,getUser,none,withAuth,f,bare session read - wrap in withAuth
